syntitem,pointitem,offset
hsi_6_0718_222_003_main__ggpt__389,st1.27774_28020_1.01stretch,-0.6255
hsi_6_0718_210_002_main__ggpt__391,st1_mirrored.26061_26416_1.26stretch,-1.1648
hsi_6_0718_227_001_main__ggpt__392,st2.6146_6478_1.09stretch,0.008399999999999963
hsi_3_0715_209_006_main__ggpt__400,st1_mirrored.17976_18360_1.23stretch,-0.2124999999999999
hsi_5_0718_227_002_main__ggpt__403,st2.5294_5623_1.03stretch,0.018500000000000183
hsi_4_0717_210_003_main__ggpt__405,st1.7376_7753_1.24stretch,-0.3739999999999999
hsi_6_0718_209_001_main__ggpt__415,st1.17594_17971_0.83stretch,0.008399999999999852
hsi_4_0717_209_003_main__ggpt__420,st1_mirrored.13251_13486_1.25stretch,0.017000000000000015
hsi_7_0719_209_001_main__ggpt__426,st1_mirrored.7376_7753_1.18stretch,-0.506
hsi_6_0718_211_002_main__ggpt__428,st1_mirrored.7758_8082_0.83stretch,-1.3118999999999998
hsi_5_0718_210_003_main__ggpt__430,st1_mirrored.19997_20370_1.1stretch,-0.579
hsi_5_0718_222_002_main__ggpt__443,st1_mirrored.27774_28020_1.31stretch,0.032600000000000184
hsi_7_0719_210_003_main__ggpt__447,st1_mirrored.9745_10055_0.97stretch,0.0006000000000000449
hsi_4_0717_209_002_main__ggpt__450,st1_mirrored.26885_27456_0.81stretch,-2.7629
hsi_5_0718_209_003_main__ggpt__451,st2_mirrored.4179_4492_1.39stretch,-1.4689
hsi_5_0718_222_003_main__ggpt__452,st1_mirrored.14865_15137,-0.495
hsi_3_0715_210_011_main__ggpt__457,st1_mirrored.22983_23268_0.89stretch,-0.35319999999999996
hsi_4_0717_222_003_main__ggpt__460,st1.33801_34062_0.82stretch,-1.3024
hsi_6_0718_222_001_main__ggpt__462,st1.26421_26880,-2.138
hsi_6_0718_209_003_main__ggpt__466,st1_mirrored.33801_34062_0.98stretch,-1.0928
hsi_6_0718_209_001_main__ggpt__468,st1_mirrored.12960_13246_0.92stretch,-0.9432
hsi_3_0715_210_010_main__ggpt__469,st1.20375_20767,0.010999999999999899
hsi_7_0719_222_002_main__ggpt__472,st1_mirrored.26061_26416_1.12stretch,-1.4496000000000002
hsi_4_0717_209_003_main__ggpt__473,st2.5294_5623_0.98stretch,0.038000000000000034
hsi_6_0718_211_002_main__ggpt__481,st2_mirrored.5294_5623,0.0
hsi_7_0719_227_003_main__ggpt__482,st2.9428_9874_0.97stretch,-0.44309999999999994
hsi_5_0718_227_001_main__ggpt__486,st1_mirrored.23273_23656_1.23stretch,-0.6599999999999999
hsi_6_0718_227_001_main__ggpt__498,st1.17235_17589_1.05stretch,0.009500000000000175
hsi_4_0717_210_001_main__ggpt__502,st1_mirrored.33801_34062,-0.994
hsi_5_0718_222_003_main__ggpt__505,st2.7800_8288,-1.2399999999999998
hsi_5_0718_227_002_main__ggpt__509,st1_mirrored.43050_43567_0.82stretch,-0.5919999999999999
hsi_4_0717_222_003_main__ggpt__513,st1.17594_17971_0.96stretch,0.013799999999999923
hsi_7_0719_210_001_main__ggpt__516,st1.15138_15625,-0.983
hsi_3_0715_227_001_main__ggpt__517,st2_mirrored.2732_3078_1.27stretch,-0.8128
hsi_6_0718_209_003_main__ggpt__519,st1.17235_17589_1.25stretch,-0.39649999999999985
hsi_4_0717_227_002_main__ggpt__520,st1_mirrored.17976_18360_0.9stretch,0.0030000000000001137
hsi_5_0718_210_002_main__ggpt__524,st1.16796_17230,-0.774
hsi_5_0718_211_002_main__ggpt__527,st1_mirrored.45132_45682_0.86stretch,-1.1705999999999999
hsi_6_0718_211_001_main__ggpt__528,st1_mirrored.28025_28393_1.34stretch,-0.9291999999999999
hsi_7_0719_209_001_main__ggpt__532,st2_mirrored.9428_9874_0.89stretch,-0.6047
hsi_6_0718_210_001_main__ggpt__533,st1_mirrored.7758_8082_1.28stretch,0.006599999999999939
hsi_6_0718_211_002_main__ggpt__534,st1_mirrored.17976_18360,0.026000000000000023
hsi_3_0715_209_008_main__ggpt__537,st1_mirrored.13251_13486_0.89stretch,-1.4484
hsi_4_0717_211_003_main__ggpt__542,st1_mirrored.17235_17589_1.1stretch,0.03100000000000014
hsi_7_0719_227_002_main__ggpt__543,st1_mirrored.17235_17589_1.26stretch,-0.4686000000000001
hsi_6_0718_227_001_main__ggpt__551,st1_mirrored.8087_8452_1.22stretch,-0.48740000000000006
hsi_4_0717_210_001_main__ggpt__555,st1.12960_13246_1.31stretch,0.006300000000000083
hsi_4_0717_209_002_main__ggpt__556,st1.22983_23268,0.0
hsi_3_0715_209_006_main__ggpt__559,st1.17594_17971,0.018000000000000016
hsi_3_0715_227_002_main__ggpt__560,st1_mirrored.27774_28020_0.99stretch,-1.5246000000000002
hsi_4_0717_210_003_main__ggpt__564,st1_mirrored.25614_26056_0.98stretch,-1.0594
hsi_4_0717_211_001_main__ggpt__576,st2.7431_7795_1.28stretch,-0.3317999999999999
hsi_7_0719_222_002_main__ggpt__578,st1.17976_18360_1.19stretch,-0.36749999999999994
hsi_5_0718_211_002_main__ggpt__580,st1_mirrored.22983_23268_1.03stretch,0.02860000000000018
hsi_6_0718_211_001_main__ggpt__581,st1.17235_17589,0.029000000000000026
hsi_6_0718_211_002_main__ggpt__587,st1_mirrored.23273_23656,-0.666
hsi_5_0718_227_001_main__ggpt__592,st2_mirrored.7431_7795_1.31stretch,-0.6126
hsi_6_0718_227_002_main__ggpt__594,st1_mirrored.34065_34416_1.33stretch,-1.9525000000000001
hsi_3_0715_227_003_main__ggpt__597,st2.11976_12272_1.25stretch,0.05300000000000005
hsi_5_0718_210_001_main__ggpt__598,st1_mirrored.23661_23983_0.82stretch,-1.3312
hsi_6_0718_222_003_main__ggpt__601,st1.26421_26880_0.89stretch,-0.5458000000000001
hsi_5_0718_222_002_main__ggpt__602,st2_mirrored.5294_5623_1.29stretch,0.05750000000000011
hsi_6_0718_210_002_main__ggpt__603,st2.6146_6478_0.92stretch,-0.3228
hsi_6_0718_227_001_main__ggpt__604,st1_mirrored.9745_10055_1.25stretch,-1.178
hsi_4_0717_222_003_main__ggpt__619,st1.4446_4759_1.4stretch,-0.7999999999999999
hsi_3_0715_227_001_main__ggpt__623,st2.6146_6478_1.28stretch,0.03479999999999994
hsi_4_0717_227_002_main__ggpt__626,st1.8087_8452_0.97stretch,0.019100000000000006
hsi_5_0718_210_002_main__ggpt__630,st1_mirrored.22983_23268_1.24stretch,0.0008000000000001339
hsi_4_0717_209_003_main__ggpt__632,st2.5628_6141_0.81stretch,0.005900000000000016
hsi_5_0718_211_002_main__ggpt__633,st1_mirrored.17976_18360_0.95stretch,0.015499999999999958
hsi_3_0715_227_004_main__ggpt__636,st1.8087_8452_1.35stretch,-0.4704999999999999
hsi_7_0719_209_001_main__ggpt__638,st2.1815_2311_0.89stretch,-0.4567999999999999
hsi_4_0717_211_002_main__ggpt__646,st2_mirrored.5294_5623_0.86stretch,-0.30000000000000004
hsi_6_0718_227_002_main__ggpt__647,st1.27774_28020_1.04stretch,-0.5919999999999999
hsi_3_0715_227_003_main__ggpt__650,st1_mirrored.7758_8082_1.39stretch,-0.3987000000000003
